time,Day,S_Guinea,E_Guinea,I_Guinea,R_Guinea,C_Guinea,Guinea_New_case,Guinea_Noise,S_Liberia,E_Liberia,I_Liberia,R_Liberia,C_Liberia,Liberia_New_case,Liberia_Noise,S_SierraLeone,E_SierraLeone,I_SierraLeone,R_SierraLeone,C_SierraLeone,SierraLeone_New_case,SierraLeone_Noise
2013-12-28,0,11499980.0,10.0,10.0,0.0,0.0,0.0,0,4499989.0,10.0,1.0,0.0,0.0,0.0,0,6799989.0,10.0,1.0,0.0,0.0,0.0,0
2013-12-29,1,11499957.064806502,13.113723514168838,15.486407897841477,14.33506208542062,19.82146998326209,19.82146998326209,12,4499979.732480076,8.044274594661884,7.137084300098526,5.086161030106569,11.22324533020509,11.22324533020509,14,6799980.939274959,8.32773762940619,6.245626972021807,4.487360442175397,9.7329874141972,9.7329874141972,9
2013-12-30,2,11499923.218331559,18.946179835060228,22.442115805026607,35.39337279764403,47.83548860267062,28.01401861940853,26,4499962.037371495,11.90775568870487,11.228769564632486,14.826103253465588,25.054872818098065,13.831627487892975,11,6799965.924387747,11.72950683251714,9.483247396395198,12.862858025054459,21.34610542144966,11.61311800725246,6
2013-12-31,3,11499874.148840794,27.45469185063728,32.50529080623749,65.891176545368,88.39646735160547,40.56097874893484,38,4499934.799758219,18.179212167034756,17.18828200686331,29.832747610626615,46.021029617489894,20.96615679939183,36,6799943.691013841,17.14963893916704,13.90839570017945,25.250951520899633,38.159347221079095,16.813241799629434,8
2014-01-01,4,11499802.982485801,39.81778774058183,47.11742710637036,110.08229934590257,147.19972645227293,58.80325910066746,62,4499893.187896459,27.766435544475716,26.26714834198174,52.77851965703153,78.04566799901323,32.02463838152334,48,6799911.064227604,25.146524889623944,20.383481043694072,43.405766464535816,62.789247508229906,24.62990028715081,17
2014-01-02,5,11499699.68473157,57.79555032917814,68.35354021053638,174.16617788343038,232.51971809396673,85.3199916416938,79,4499829.671685513,42.38441529512897,40.113246065722464,87.83065312772538,126.9438991934478,48.89823119443457,32,6799863.160570208,36.91329559477923,29.900864907944193,70.02526929139732,98.9261341993415,36.1368866911116,58
2014-01-03,6,11499549.622900639,83.96047887854493,99.242883270809,267.1737372002151,356.4166204710241,123.89690237705736,183,4499732.778874825,64.6598345735246,61.21971730360833,141.34157330166582,201.56129060527414,74.61739141182633,90,6799792.75763082,54.24112781224121,43.90641341677647,109.09482795270056,152.00124136947707,53.07510717013557,49
2014-01-04,7,11499331.441208499,122.07425070684994,144.2124645604538,402.27207622384657,536.4845407843002,180.0679203132761,138,4499585.052927223,98.58707729556897,93.37730038789864,222.9826950965652,315.35999548446387,113.79870487918973,134,6799689.184560455,79.78291210418719,64.53717273979073,166.49535470266295,230.03252744245367,78.0312860729766,60
2014-01-05,8,11499013.944680434,177.642046532075,209.73753796505252,598.6757350591432,798.4132730241957,261.92873223989557,273,4499359.9444632875,150.23601557633708,142.34815732556365,347.47136381443187,488.8195211399955,173.45952565553165,189,6799536.662876064,117.46831551706609,94.95664760595639,250.91216081317086,344.86880841912733,114.83628097667366,102
2014-01-06,9,11498551.527305659,258.72705071643804,305.297067559031,884.4485760566594,1179.7456436156904,381.3323705914946,558,4499017.094867619,228.82529126527365,216.88677078165765,537.1930703380408,753.0798411196986,264.26031997970307,301,6799311.841706333,173.12259211249813,139.85181247499008,375.1838890799089,514.0357015548989,169.16689313577155,285
