time,Day,S_Guinea,E_Guinea,I_Guinea,R_Guinea,C_Guinea,Guinea_New_case,Guinea_Noise,S_Liberia,E_Liberia,I_Liberia,R_Liberia,C_Liberia,Liberia_New_case,Liberia_Noise,S_SierraLeone,E_SierraLeone,I_SierraLeone,R_SierraLeone,C_SierraLeone,SierraLeone_New_case,SierraLeone_Noise
2013-12-28,0,11499980.0,10.0,10.0,0.0,0.0,0.0,0,4499989.0,10.0,1.0,0.0,0.0,0.0,0,6799989.0,10.0,1.0,0.0,0.0,0.0,0
2013-12-29,1,11499958.87435133,14.183939371106927,14.138251836078977,12.803457464068403,16.941709300147377,16.941709300147377,10,4499979.983228647,7.891712427134532,7.06512490317296,5.059934021723326,11.125058924896289,11.125058924896289,14,6799980.3817337705,7.641850194556444,6.954105060722946,5.022310974857738,10.976416035580682,10.976416035580682,9
2013-12-30,2,11499928.97542826,20.08390647943044,20.016560001968678,30.92410525633957,40.94066525830825,23.998955958160874,22,4499962.940532788,11.488667050581862,10.947003095912082,14.623797063070903,24.570800158982983,13.445741234086695,9,6799964.468349891,10.76534280478181,10.470424994755218,14.295882309411487,23.76630730416669,12.78989126858601,7
2013-12-31,3,11499886.643683184,28.435930592545546,28.340472218618963,56.57991400638106,74.920386225,33.97972096669175,33,4499937.0835211435,17.279623282145437,16.502789778380702,29.134065794941392,44.63685557332209,20.066055414339104,11,6799941.035155974,15.701741308247227,15.311418113643564,27.95168460509191,42.26310271873546,18.49679541456877,11
2014-01-01,4,11499826.708480032,40.26092348790681,40.12586421443059,92.90473226803206,123.03059648246266,48.110210257462654,37,4499898.133531432,26.021083722361826,24.853461097894925,50.991923744969384,74.8453848428643,30.20852926954222,63,6799906.796940758,22.933287292210597,22.365524230555113,47.90424772014225,69.26977195069736,27.0066692319619,23
2014-01-02,5,11499741.849923272,57.00298238271543,56.81196899165876,144.3351253567619,191.14709434842064,68.11649786595798,65,4499839.476725618,39.18606125050184,37.42805258790625,83.90916054172574,120.33721312963199,45.491828286767685,45,6799856.786950954,33.49699307586142,32.6679509257248,77.04810504576677,108.7160559714916,39.44628402079424,48
2014-01-03,6,11499621.704882357,80.70641175516295,80.4363892574833,217.15231663168979,287.588705889173,96.44161154075238,157,4499751.144602091,59.01087573408087,56.364013912759525,133.48050826005985,188.84452217281938,68.50730904318739,101,6799783.741414167,48.926339988399825,47.71568651168439,119.61655933480907,166.33224584649344,57.61618987500184,61
2014-01-04,7,11499451.602195324,114.26512829597694,113.88366828254202,320.2490080975467,424.1326763800886,136.54397049091557,191,4499618.127087413,88.86336485462999,84.87873793548016,208.13080979402864,292.00954772950877,103.16502555668939,126,6799677.051056206,71.46189595797037,69.69415508216757,181.79289275494534,250.48704783711284,84.1548019906194,92
2014-01-05,8,11499210.772757491,161.77544578461007,161.23706455243575,466.2147321714678,617.4517967239035,193.31912034381492,209,4499417.825693036,133.81312714825094,127.81575033897595,320.54542947417843,447.3611798131545,155.3516320836457,179,6799521.22180153,104.37556440746934,101.79479874394497,272.6078353213675,373.4026340653123,122.91558622819949,136
2014-01-06,9,11498869.816888465,229.03502546377294,228.27618717335085,672.8718988958206,891.1480860691715,273.69628934526804,377,4499116.222085486,201.48954298646046,192.4653090679355,489.82306245743285,681.2883715253683,233.92719171221387,190,6799293.627365459,152.44464850152903,148.67780154097935,405.2501845019498,552.927986042929,179.52535197761665,193
2014-01-07,10,11498387.121790385,324.24822870759226,323.180704451602,965.4492764519567,1278.6299809035593,387.48189483438773,236,4498662.118356668,303.3701950518285,289.79733475991793,744.7141135179282,1033.5114482778463,352.22307675247794,343,6798961.229706469,222.64324568750916,217.14707452958686,598.9799733176942,815.1270478472809,262.1990618043519,218
2014-01-08,11,11497703.795788866,459.0226154509462,457.5249497507821,1379.6566459273488,1827.1815956781315,548.5516147745723,513,4497978.486394125,456.7126336030501,436.31175442929634,1128.4892178417024,1563.8009722709985,530.2895239931522,531,6798475.795464991,325.14979569130304,317.134357502237,881.9203818182835,1198.0547393205206,382.92769147323975,182
2014-01-09,12,11496736.509130854,649.7754869139987,647.6826554532303,1966.0327267715975,2603.7153822248288,776.5337865466972,1091,4496949.493067355,687.4442011074545,656.8105754649744,1706.2521560721698,2362.062731537144,798.2617592661454,1388,6797766.9231059095,474.8137748516999,463.1327988497553,1295.1303203942182,1757.2631192439735,559.2083799234529,489
2014-01-10,13,11495367.384237833,919.7165785538524,916.8088271596245,2796.0903564455934,3702.899183605219,1099.1838013803904,848,4495401.080535916,1034.4701322492867,988.5396457355098,2575.9096860983673,3563.4493318338777,1201.3866002967338,1433,6796731.888650697,693.2873590350557,676.2826575110665,1898.541332762316,2573.8239902733826,816.5608710294091,549
2014-01-11,14,11493429.734803895,1301.637783610921,1297.631787977685,3970.9956245090134,5258.6274124867,1555.7282288814813,1781,4493071.991161977,1556.0625242883093,1487.351846525729,3884.5944672076535,5370.946313733384,1807.4969818995064,1812,6795220.878732861,1012.1164135954389,987.4002744734657,2779.6045790737944,3766.0048535472592,1192.1808632738766,1650
2014-01-12,15,11490687.980915295,1841.827970321237,1836.3782265565735,5633.8128878193365,7460.19111437591,2201.5637018892094,3936,4489570.742666574,2339.2590386699508,2236.821236705332,5853.177058046574,8088.998294751905,2718.0519810185206,2617,6793015.5597768165,1477.2071566831976,1441.364992889943,4065.8680736125293,5506.233066502473,1740.2282129552136,1130
2014-01-13,16,11486809.424384778,2605.545902794478,2598.274423667322,7986.755288751174,10575.029712418498,3114.8385980425883,4171,4484312.206716717,3513.517181860945,3361.592487047756,8812.683614369978,12173.276101417736,4084.277806665831,4287,6789798.069185851,2155.24809652363,2103.447656106909,5943.235061518532,8045.682717625439,2539.4496511229663,5060
2014-01-14,17,11481324.711374445,3684.6297166889926,3675.223269787144,11315.435639070593,14980.658908857738,4405.62919643924,3893,4476425.171816513,5270.1621644507795,5046.642883302149,13258.02313573057,18303.66601903272,6130.389917614984,3836,6785106.34653322,3142.8736284817282,3068.386085798814,8682.393752500186,11749.779838299002,3704.097120673563,3987
2014-01-15,18,11473572.699268142,5207.993666909225,5196.4509216788265,16022.85614326325,21209.307064942073,6228.648156084335,6668,4464619.970381856,7889.208797106585,7564.42017221494,19926.400648819243,27489.820821034176,9186.154802001456,8613,6778270.20890687,4579.591457117198,4473.285510414679,12676.914125598501,17149.19963601318,5399.419797714179,6344
2014-01-16,19,11462624.077288873,7355.94070290271,7343.138370940938,22676.843637276892,30009.982008217827,8800.674943275753,9759,4447004.173292362,11774.371780038377,11311.600438424259,29909.85448917317,41220.454927597435,13730.634106563259,8311,6768320.7630888615,6665.704491678331,6515.712418450507,18497.820001011605,25012.532419462117,7863.3327834489355,3997
2014-01-17,20,11447176.552467164,10379.343637192804,10368.262393278656,32075.841502355983,42434.103895634646,12424.121887416819,17051,4420837.643742985,17494.272653139877,16855.552809857454,44812.530794015576,61667.083603873034,20446.6286762756,16170,6753863.92272644,9686.485531136532,9478.555001492628,26971.036740933112,36448.59174242576,11436.05932296364,16944
2014-01-18,21,11425413.003005771,14624.680825390815,14622.966292474037,45339.34987635395,59952.31616882798,17518.212273193334,17673,4382232.7121294215,25820.604312480787,24985.555424301467,66961.12813379457,91945.68355809608,30278.599954223042,24156,6732907.788920472,14043.356420410531,13763.081030380717,39285.77362874023,53047.854659120945,16599.26291669519,15164
2014-01-19,22,11394813.452760682,20565.367832856416,20590.540704439896,64030.638702014156,84611.17940645403,24658.86323762605,29256,4325843.6951672565,37738.399978117915,36751.84931726453,99666.05553736,136416.90485462456,44471.221296528485,72905,6702635.41141202,20291.043300977413,19930.5591464976,57142.98614050918,77072.54528700678,24024.690627885837,19697
2014-01-20,23,11351913.618419383,28838.25068543437,28928.06600624176,90320.06488893622,119238.13089517796,34626.951488723935,30102,4244671.664942097,54375.357206415705,53451.75754602897,147501.22030545698,200951.977851486,64535.07299686145,105732,6659123.075568425,29175.226532734912,28749.666205195543,82952.03169364874,111700.69789884429,34628.152611837504,21122
